COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;SITIO;;BOA VISTA;;SN;;;;;;;;;;;-19.758728333333334;-44.54602830555555;732.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;CASTELINHO VERDE;;SN;;;;;;;;;;;-19.729339999999997;-44.564449999999994;720.0;PONTE ALTA;3;35694000
31;63102;05;00;2;SITIO;;DIVINO ESPIRITO SANTO;;SN;;;;;;;;;;;-19.744909972222224;-44.52606163888889;724.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;DO ADAO;;SN;;;;;;;;;;;-19.757779972222224;-44.588889972222226;797.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;;DO PRAZER PROP DE BARROSO;;SN;;;;;;;;;;;-19.780308333333334;-44.59539163888889;772.0;BURACAO;3;35694000
31;63102;05;00;2;SITIO;;DO ZE MIGUEL;;SN;;;;;;;;;;;-19.771046638888887;-44.58723497222223;781.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;;IRMAOS FERREIRA;;SN;;;;;;;;;;;-19.763118333333335;-44.550459999999994;765.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;LAGOA PRETA;;SN;;;;;;;;;;;-19.768858305555554;-44.60535166666667;780.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;;MARIANA;;SN;;;;;;;;;;;-19.728973333333332;-44.555373305555555;744.0;PONTE ALTA;3;35694000
31;63102;05;00;2;SITIO;;MORRO REDONDO;;SN;;;;;;;;;;;-19.768701666666665;-44.57119330555556;774.0;LAGOA PRETA;3;35694000
